fecha,id_cliente,id_producto,unidades,precio_unitario
2025-01-18,C151,P28,1,5.83
2025-01-19,C222,P16,4,19.8
2025-01-30,C031,P31,3,12.51
2025-01-11,C232,P49,3,16.35
2025-01-23,C164,P48,1,11.01
2025-01-27,C175,P29,1,17.53
2025-01-11,C095,P21,1,7.17
2025-01-12,C405,P34,5,17.21
2025-01-12,C170,P48,2,11.01
2025-01-21,C138,P24,2,5.18
2025-01-28,C268,P35,1,7.88
2025-01-24,C292,P20,4,6.28
2025-01-05,C002,P23,1,16.23
2025-01-03,C028,P33,3,17.83
2025-01-07,C272,P26,3,8.51
2025-01-04,C012,P17,2,5.81
2025-01-27,C335,P38,4,9.94
2025-01-01,C066,P19,3,6.72
2025-01-12,C388,P24,4,5.18
2025-01-23,C276,P26,5,8.51
2025-01-13,C294,P24,4,5.18
2025-01-08,C176,P10,1,17.09
2025-01-18,C479,P16,3,19.8
2025-01-23,C014,P47,2,7.58
2025-01-20,C356,P24,4,5.18
2025-01-27,C295,P41,1,10.69
2025-01-09,C286,P27,2,13.45
2025-01-03,C389,P13,5,10.24
2025-01-21,C368,P36,5,11.39
2025-01-07,C166,P20,1,6.28
2025-01-03,C353,P47,5,7.58
2025-01-07,C464,P26,5,8.51
2025-01-16,C451,P25,5,12.55
2025-01-20,C444,P47,4,7.58
2025-01-26,C423,P48,4,11.01
2025-01-27,C026,P15,3,7.67
2025-01-07,C263,P17,3,5.81
2025-01-16,C448,P12,2,8.23
2025-01-09,C162,P47,5,7.58
2025-01-07,C048,P31,1,12.51
2025-01-11,C385,P49,5,16.35
2025-01-03,C486,P33,3,17.83
2025-01-06,C465,P32,4,7.38
2025-01-03,C108,P18,4,18.04
2025-01-18,C088,P47,2,7.58
2025-01-22,C465,P27,3,13.45
2025-01-27,C474,P16,5,19.8
2025-01-04,C444,P46,4,12.8
2025-01-22,C178,P44,3,14.23
2025-01-13,C285,P49,2,16.35
2025-01-24,C313,P41,2,10.69
2025-01-21,C033,P40,1,14.5
2025-01-16,C191,P12,1,8.23
2025-01-21,C223,P34,2,17.21
2025-01-01,C247,P24,4,5.18
2025-01-22,C026,P33,3,17.83
2025-01-22,C389,P10,1,17.09
2025-01-13,C363,P36,5,11.39
2025-01-30,C092,P35,5,7.88
2025-01-19,C240,P24,2,5.18
2025-01-03,C416,P21,2,7.17
2025-01-30,C311,P50,3,10.44
2025-01-19,C179,P17,3,5.81
2025-01-08,C416,P40,3,14.5
2025-01-18,C261,P27,4,13.45
2025-01-14,C411,P20,4,6.28
2025-01-03,C267,P25,5,12.55
2025-01-28,C390,P38,4,9.94
2025-01-10,C322,P31,4,12.51
2025-01-22,C196,P44,1,14.23
2025-01-13,C323,P48,5,11.01
2025-01-17,C337,P39,5,14.17
2025-01-26,C156,P42,1,14.59
2025-01-16,C442,P42,4,14.59
2025-01-08,C397,P39,3,14.17
2025-01-17,C382,P44,3,14.23
2025-01-01,C354,P46,5,12.8
2025-01-22,C257,P29,3,17.53
2025-01-09,C379,P22,2,9.23
2025-01-18,C467,P43,2,7.69
2025-01-02,C004,P36,2,11.39
2025-01-03,C351,P38,1,9.94
2025-01-12,C006,P41,2,10.69
2025-01-04,C236,P42,2,14.59
2025-01-08,C449,P25,3,12.55
2025-01-01,C179,P21,1,7.17
2025-01-08,C161,P36,5,11.39
2025-01-02,C187,P25,1,12.55
2025-01-03,C452,P45,2,7.25
2025-01-28,C373,P46,3,12.8
2025-01-08,C015,P37,2,11.91
2025-01-22,C065,P16,4,19.8
2025-01-03,C199,P42,5,14.59
2025-01-23,C169,P43,4,7.69
2025-01-26,C301,P29,5,17.53
2025-01-20,C033,P27,2,13.45
2025-01-06,C035,P27,2,13.45
2025-01-07,C347,P28,2,5.83
2025-01-13,C385,P36,1,11.39
